Air Flow,Bearing Type,Color,Features,Kind,LED Color,Link,Manufacturer,Model,Name,Noise Level,Part #,Prices,RPM,Size,Static Pressure,avg,short_link,fan_size,air_flow,max_flow,min_flow,rpm,rpm_min,rpm_max,noise,has_LED,static_pressure
30.6 CFM,,Black,,Case Fan,,/product/d6Gkcf/noiseblocker-case-fan-nbblacksilentpropcp,NoiseBlocker,,NoiseBlocker NB-BlackSilentPro PC-P 30.6 CFM  80mm Fan,26.0 dbA,NB-BlackSilentPro PC-P,[],2500 RPM,80mm,,0.0,noiseblocker-case-fan-nbblacksilentpropcp,80.0,30.6 ,30.6 ,30.6,2500 ,2500.0,2500.0,26.0,No,0.0
17.2 CFM,,Black,,Case Fan,,/product/Psdqqs/noiseblocker-case-fan-nbblacksilentprop1,NoiseBlocker,,NoiseBlocker NB-BlackSilentPro P-1 17.2 CFM  80mm Fan,15.0 dbA,NB-BlackSilentPro P-1,[],1500 RPM,80mm,,0.0,noiseblocker-case-fan-nbblacksilentprop1,80.0,17.2 ,17.2 ,17.2,1500 ,1500.0,1500.0,15.0,No,0.0
28.8 CFM,,Black,,Case Fan,,/product/tJJwrH/noiseblocker-case-fan-nbblacksilentpropk1,NoiseBlocker,,NoiseBlocker NB-BlackSilentPro PK-1 28.8 CFM  140mm Fan,9.0 dbA,NB-BlackSilentPro PK-1,[],700 RPM,140mm,,0.0,noiseblocker-case-fan-nbblacksilentpropk1,140.0,28.8 ,28.8 ,28.8,700 ,700.0,700.0,9.0,No,0.0
32.4 CFM,,Black,,Case Fan,,/product/gL8Zxr/noiseblocker-case-fan-nbblacksilentpropk2,NoiseBlocker,,NoiseBlocker NB-BlackSilentPro PK-2 32.4 CFM  140mm Fan,22.0 dbA,NB-BlackSilentPro PK-2,[],1200 RPM,140mm,,0.0,noiseblocker-case-fan-nbblacksilentpropk2,140.0,32.4 ,32.4 ,32.4,1200 ,1200.0,1200.0,22.0,No,0.0
,2 Ball,Black,PWM (Pulse width modulation)<br/>Long life bearing<br/>Low noise &amp; high airflow<br/>Low pollution(ROHS complate),Case Fan,,/product/cJ6BD3/evercool-case-fan-fec12038hh12bp,Evercool,,Evercool F-EC12038HH12BP 120mm Fan,17.2 - 39.0 dbA,F-EC12038HH12BP,[],800 - 2200 RPM,120mm,,0.0,evercool-case-fan-fec12038hh12bp,120.0,0,0,0.0,800 - 2200 ,800.0,2200.0,39.0,No,0.0
,Ever Lubricate,Black,Voltage: 12VDC,Case Fan,,/product/7Wg323/evercool-case-fan-fanec3510h12e,Evercool,EC-3510,Evercool EC-3510 35mm Fan,,FAN-EC3510H12E,[],9000 RPM,35mm,,0.0,evercool-case-fan-fanec3510h12e,35.0,0,0,0.0,9000 ,9000.0,9000.0,0.0,No,0.0
80.0 CFM,Ever Lubricate bearing type (Long life bearing),Red,Spider Filter Fan always care about your PC clean.<br/>High quality by using Filter.<br/>Exclusive Spider Filter design by EVERCOOL.<br/>Super Silent &amp; Long Life Time.<br/>Rated Voltage: 12 V,Case Fan,,/product/XCNp99/evercool-case-fan-sff12,Evercool,,Evercool SFF-12 80.0 CFM  120mm Fan,25.0 dbA,SFF-12,[],2000 RPM,120mm,,0.0,evercool-case-fan-sff12,120.0,80.0 ,80.0 ,80.0,2000 ,2000.0,2000.0,25.0,No,0.0
48.7 CFM,2 Ball,Black,,Case Fan,,/product/2yGkcf/thermaltake-case-fan-af0029,Thermaltake,,Thermaltake AF0029 48.7 CFM  92mm Fan,37.6 dbA,AF0029,[],2850 RPM,92mm,,0.0,thermaltake-case-fan-af0029,92.0,48.7 ,48.7 ,48.7,2850 ,2850.0,2850.0,37.6,No,0.0
23.0 - 61.6 CFM,UFB (Updraft Floating Balance),Black/White,,Case Fan,,/product/t9Trxr/phanteks-case-fan-phf120xpbk,Phanteks,,Phanteks PH-F120XP_BK 61.6 CFM  Fan,21.0 - 27.0 dbA,PH-F120XP_BK,"[16.99, 13.59]",500 - 1500 RPM,0,,15.29,phanteks-case-fan-phf120xpbk,0.0,23.0 - 61.6 ,61.6,23.0,500 - 1500 ,500.0,1500.0,27.0,No,0.0
54.4 CFM,UFB (Updraft Floating Balance),Black/White,,Case Fan,,/product/gFfmP6/phanteks-case-fan-phf120spbk,Phanteks,,Phanteks PH-F120SP_BK 54.4 CFM  Fan,24.2 dbA,PH-F120SP_BK,"[14.99, 11.99, 22.89]",1300 RPM,0,,16.6233333333,phanteks-case-fan-phf120spbk,0.0,54.4 ,54.4 ,54.4,1300 ,1300.0,1300.0,24.2,No,0.0
57.2 CFM,,Black/Red,"Tuned for high pressure air delivery directly to components<br/>Better performance than standard case fans<br/>LED-lit translucent, frosted fan blades for a dramatic effect<br/>Specially designed fan blades and a sleeved bearing system for less vibration, noise and turbulence<br/>Available in single or twin packs.",Case Fan,Red,/product/JTvRsY/corsair-case-fan-co9050019ww,Corsair,SP120,Corsair SP120 57.2 CFM  120mm Fan,26.4 dbA,CO-9050019-WW,"[12.69, 12.79, 12.79, 12.83, 15.99, 15.99, 12.79]",1650 RPM,120mm,,13.6957142857,corsair-case-fan-co9050019ww,120.0,57.2 ,57.2 ,57.2,1650 ,1650.0,1650.0,26.4,Yes,0.0
54.4 CFM,UFB (Updraft Floating Balance),Black/White,,Case Fan,Blue,/product/KKH48d/phanteks-case-fan-phf120spbled,Phanteks,,Phanteks PH-F120SP_BLED 54.4 CFM  Fan,24.2 dbA,PH-F120SP_BLED,"[15.99, 12.79]",1300 RPM,0,,14.39,phanteks-case-fan-phf120spbled,0.0,54.4 ,54.4 ,54.4,1300 ,1300.0,1300.0,24.2,Yes,0.0
59.8 CFM,Fluid Dynamic,Black,"120mm, 9 blades<br/>2000RPM ± 10%0RPM / 59.8CFM<br/>FDB bearing<br/>Black frame with red LED",Case Fan,Red,/product/JW2kcf/rosewill-case-fan-rnbl131209r,Rosewill,,Rosewill RNBL-131209R 59.8 CFM  120mm Fan,36.0 dbA,RNBL-131209R,[],2000 RPM,120mm,,0.0,rosewill-case-fan-rnbl131209r,120.0,59.8 ,59.8 ,59.8,2000 ,2000.0,2000.0,36.0,Yes,0.0
59.8 CFM,Fluid Dynamic,Black,"120mm, 9 blades<br/>2000RPM ± 10%0RPM / 59.8CFM<br/>FDB bearing<br/>Black frame with blue LED",Case Fan,Blue,/product/v7ckcf/rosewill-case-fan-rnbl131209b,Rosewill,,Rosewill RNBL-131209B 59.8 CFM  120mm Fan,36.0 dbA,RNBL-131209B,[],2000 RPM,120mm,,0.0,rosewill-case-fan-rnbl131209b,120.0,59.8 ,59.8 ,59.8,2000 ,2000.0,2000.0,36.0,Yes,0.0
50.5 CFM,Fluid Dynamic,Black,,Case Fan,,/product/GHYXsY/be-quiet-case-fan-bl030,be quiet!,SilentWings 2,be quiet! SilentWings 2 50.5 CFM  120mm Fan,16.5 dbA,BL030,"[24.99, 38.86]",1500 RPM,120mm,1.63 mm/H2O,31.925,be-quiet-case-fan-bl030,120.0,50.5 ,50.5 ,50.5,1500 ,1500.0,1500.0,16.5,No,1.63
61.2 CFM,Rifle,Black,,Case Fan,,/product/4GsKHx/be-quiet-case-fan-bl047,be quiet!,Pure Wings 2,be quiet! Pure Wings 2 61.2 CFM  140mm Fan,18.8 dbA,BL047,"[11.89, 11.9, 11.9]",1000 RPM,140mm,0.76 mm/H2O,11.8966666667,be-quiet-case-fan-bl047,140.0,61.2 ,61.2 ,61.2,1000 ,1000.0,1000.0,18.8,No,0.76
69.7 CFM,Long Life Sleeve,Translucent/Grey,"Transparent dark-gray fan blades for better LED effect<br/>Long life sleeve bearing for longer life expectancy<br/>Strong air flow to fortify cooling efficiency<br/>Silent operation as an excellent choice for case cooling<br/>RoHS compliance<br/>3 to 4 Pin Adapter included<br/>Recommended for V10, V8, V6, Hyper 212+, Cosmos, Cosmos S, HAF 912, HAF 922, HAF 932, HAF X, CM 690 II, CM Storm Scout and Sniper.<br/>Air pressure (mmH2O): 2.94 mmH2O<br/>Life Expectation: 50,000 hours<br/>Rated Voltage: 12 VDC<br/>Current (Ampere): 0.35A ± 10%<br/>Power consumption: 4.2W ± 10%<br/>Weight: 116 g<br/>Screws: 4 pcs",Case Fan,Green,/product/Pwdqqs/cooler-master-case-fan-r4l2r20agr2,Cooler Master,SickleFlow,Cooler Master SickleFlow 69.7 CFM  120mm Fan,19.0 dbA,R4-L2R-20AG-R2,"[5.99, 6.89, 6.99, 7.99, 8.0, 8.99, 8.99, 7.99]",2000 RPM,120mm,2.94 mm/H2O,7.72875,cooler-master-case-fan-r4l2r20agr2,120.0,69.7 ,69.7 ,69.7,2000 ,2000.0,2000.0,19.0,Yes,2.94
110.0 CFM,Sleeve,Black,"High air flow for maximum cooling performance.<br/>Quiet operation with low RPM.<br/>RoHS compliance for protecting the environment.<br/>Compatible with Cosmos II, ATCS 840, HAF 932, HAF 922* and Storm Sniper* (*No LED On/Off function support).<br/>Adds extra cooling for graphics cards when installed on side panels.",Case Fan,,/product/C7Qypg/cooler-master-case-fan-r4mfjr07fkr1,Cooler Master,,Cooler Master R4-MFJR-07FK-R1 110.0 CFM  200mm Fan,19.0 dbA,R4-MFJR-07FK-R1,"[15.99, 14.99, 18.98, 15.29]",700 RPM,200mm,,16.3125,cooler-master-case-fan-r4mfjr07fkr1,200.0,110.0 ,110.0 ,110.0,700 ,700.0,700.0,19.0,No,0.0
,SSO2-Bearing (Self-stabilising oil-presure bearing),Brown,Succeeding the award-winning NF-P14<br/>Round 140mm frame with 150mm width<br/>Flow Acceleration Channels<br/>AAO Frame<br/>Stepped Inlet Design<br/>Inner Surface Microstructures<br/>Integrated Anti-Vibration Pads<br/>SSO2 Bearing<br/>Metal bearing shell<br/>Custom designed PWM IC with SCD<br/>Low-Noise Adaptor<br/>Extensive cabling options<br/>Ultra-Low Power Consumption,Case Fan,,/product/znPfrH/noctua-case-fan-nfa15pwm,Noctua,,Noctua NF-A15 PWM 140mm Fan,13.8 - 19.2 dbA,NF-A15 PWM,"[20.88, 20.95, 20.93, 29.99, 33.99]",900 - 1200 RPM,140mm,,25.348,noctua-case-fan-nfa15pwm,140.0,0,0,0.0,900 - 1200 ,900.0,1200.0,19.2,No,0.0
60.9 CFM,Sleeve,Black,Recommended for CM 690 and Centurion 590.<br/>60.9 CFM High airflow to enhance cooling performance.<br/>Super silent operation at 16 d-BA for case cooling.<br/>RoHS compliance for protecting the environment.,Case Fan,,/product/ZBkD4D/cooler-master-case-fan-r4s4s10akgp,Cooler Master,,Cooler Master R4-S4S-10AK-GP 60.9 CFM  140mm Fan,16.0 dbA,R4-S4S-10AK-GP,"[6.89, 6.99, 10.47, 8.8, 9.99]",1000 RPM,140mm,,8.628,cooler-master-case-fan-r4s4s10akgp,140.0,60.9 ,60.9 ,60.9,1000 ,1000.0,1000.0,16.0,No,0.0
63.5 CFM,Hydraulic,Black,"Static Pressure (mm/H2O): 1.1 mm/H2O<br/>Power Draw (@ +12V): 0.13A<br/>The AF120 Performance Edition is a great choice for a high performance side panel intake or case exhaust, or even a 'pull' fan for a radiator or heatsink.<br/>Nine ultra-thin blades for excellent airflow at very low noise levels.<br/>Custom fan enclosure for ducting air in the right direction with minimal interference.<br/>Advanced Hydraulic Bearing for reliable, quiet operation.<br/>Rubberized corners for sound damping when installed with standard screws.<br/>User-replaceable colored rings so you can match your fans to your case<br/>Included voltage step-down adapter for even quieter operation.",Case Fan,,/product/pCH323/corsair-case-fan-co9050004ww,Corsair,Air Series AF120 Performance Edition (2-Pack),Corsair Air Series AF120 Performance Edition (2-Pack) 63.5 CFM  120mm Fans,30.0 dbA,CO-9050004-WW,"[29.88, 32.61, 34.31, 34.99, 34.99, 31.53, 35.99]",1650 RPM,120mm,1.10 mm/H2O,33.4714285714,corsair-case-fan-co9050004ww,120.0,63.5 ,63.5 ,63.5,1650 ,1650.0,1650.0,30.0,No,1.1
73.9 CFM,,Black,,Case Fan,Multi-Color,/product/B84NnQ/thermaltake-riing-14-rgb-premium-edition-739-cfm-140mm-fans-cl-f051-pl14sw-a,Thermaltake,Riing 14 RGB 3-Pack Premium Edition,Thermaltake Riing 14 RGB 3-Pack Premium Edition 73.9 CFM  140mm Fans,29.4 dbA,CL-F051-PL14SW-A,"[86.99, 129.99]",500 - 1400 RPM,140mm,,108.49,thermaltake-riing-14-rgb-premium-edition-739-cfm-140mm-fans-cl-f051-pl14sw-a,140.0,73.9 ,73.9 ,73.9,500 - 1400 ,500.0,1400.0,29.4,Yes,0.0
51.1 CFM,Hydraulic,Black/Red,Patented Circular Red LED Ring<br/>High Static Pressure for Case/Radiator Applications<br/>Concentrated Compression Blade Design<br/>Hydraulic Bearing for Low noise/Longer Lifespan<br/>LNC (Low Noise Cable) Included to Reduced Noise<br/>Anti-vibration Mounting System,Case Fan,Red,/product/TYrcCJ/thermaltake-case-fan-clf039pl14rea,Thermaltake,Riing 14 LED Red,Thermaltake Riing 14 LED Red 51.1 CFM  140mm Fan,22.1 - 28.1 dbA,CL-F039-PL14RE-A,"[16.89, 16.99, 17.66, 17.66, 17.99, 19.89, 17.99]",1000 - 1400 RPM,140mm,1.58 mm/H2O,17.8671428571,thermaltake-case-fan-clf039pl14rea,140.0,51.1 ,51.1 ,51.1,1000 - 1400 ,1000.0,1400.0,28.1,Yes,1.58
40.9 - 85.2 CFM,UFB (Updraft Floating Balance),Black/White,"Speed (RPM) with QSA: 300-900 +/- 250 rpm<br/>Max Airflow with QSA: 49.14 CFM<br/>Acoustical Noise with QSA: 17 dB (A)<br/>Static Pressure with QSA: 0.77mm H2O<br/>Input Current: 0.14 A<br/>Rate Voltage: DC 12V<br/>Input Power: 1.8 W<br/>MTBF: &gt;150,000 h<br/>Cable Length: 500mm",Case Fan,,/product/NKW9TW/phanteks-case-fan-phf140xpbk,Phanteks,,Phanteks PH-F140XP_BK 85.2 CFM  140mm Fan,19.0 dbA,PH-F140XP_BK,"[17.99, 14.39, 22.97, 23.89]",600 - 1200 RPM,140mm,0.77 mm/H2O,19.81,phanteks-case-fan-phf140xpbk,140.0,40.9 - 85.2 ,85.2,40.9,600 - 1200 ,600.0,1200.0,19.0,No,0.77
57.2 CFM,,Black/Green,"Tuned for high pressure air delivery directly to components<br/>Better performance than standard case fans<br/>LED-lit translucent, frosted fan blades for a dramatic effect<br/>Specially designed fan blades and a sleeved bearing system for less vibration, noise and turbulence<br/>Available in single or twin packs.",Case Fan,Green,/product/m72kcf/corsair-case-fan-co9050022ww,Corsair,SP120,Corsair SP120 57.2 CFM  120mm Fan,26.4 dbA,CO-9050022-WW,"[12.99, 15.99, 12.99]",1650 RPM,120mm,,13.99,corsair-case-fan-co9050022ww,120.0,57.2 ,57.2 ,57.2,1650 ,1650.0,1650.0,26.4,Yes,0.0
49.0 CFM,,Black/White,,Case Fan,,/product/7zyxFT/cryorig-case-fan-qf120balance,CRYORIG,QF120 Balance,CRYORIG QF120 Balance 49.0 CFM  120mm Fan,10.0 - 25.0 dbA,QF120 Balanced<br/>(or) CR-QFA,"[12.89, 12.99, 13.0, 15.99]",330 - 1600 RPM,120mm,,13.7175,cryorig-case-fan-qf120balance,120.0,49.0 ,49.0 ,49.0,330 - 1600 ,330.0,1600.0,25.0,No,0.0
3.9 - 4.8 CFM,SSO2,Brown,Flow Acceleration Channels<br/>Reduced Motor Hub Size<br/>AAO Frame<br/>Stepped Inlet Design<br/>Inner Surface Microstructures<br/>Integrated Anti-Vibration Pads<br/>Smooth Commutation Drive 2<br/>Low-Noise Adaptor for full flexibility<br/>3 to 2-pin Adaptor and Polarity Protection<br/>OmniJoin Adaptor Set,Case Fan,,/product/dqCwrH/noctua-case-fan-nfa4x10,Noctua,,Noctua NF-A4x10 4.8 CFM  40mm Fan,12.9 - 17.9 dbA,NF-A4x10,"[13.39, 13.44, 19.52, 22.99]",3700 - 4500 RPM,40mm,,17.335,noctua-case-fan-nfa4x10,40.0,3.9 - 4.8 ,4.8,3.9,3700 - 4500 ,3700.0,4500.0,17.9,No,0.0
28.9 - 59.2 CFM,SSO,Brown,Highly optimised impeller with Bevelled Blade Tips<br/>3 speed settings for full flexibility<br/>Smooth Commutation Drive 2,Case Fan,,/product/ck2kcf/noctua-case-fan-nfs12bflx,Noctua,,Noctua NF-S12B FLX 59.2 CFM  120mm Fan,6.0 - 18.1 dbA,NF-S12B FLX,[59.89],600 - 1200 RPM,120mm,,59.89,noctua-case-fan-nfs12bflx,120.0,28.9 - 59.2 ,59.2,28.9,600 - 1200 ,600.0,1200.0,18.1,No,0.0
51.3 CFM,Fluid Dynamic,White,PWM Technology<br/>Silent Operation<br/>Enhanced Airflow<br/>Aggressive Looks Both On and Off,Case Fan,,/product/yvXfrH/bitfenix-case-fan-bffscfp12025wwrp,BitFenix,Spectre PWM,BitFenix Spectre PWM 51.3 CFM  120mm Fan,22.5 dbA,BFF-SCF-P12025WW-RP,"[8.0, 17.39]",1800 RPM,120mm,1.88 mm/H2O,12.695,bitfenix-case-fan-bffscfp12025wwrp,120.0,51.3 ,51.3 ,51.3,1800 ,1800.0,1800.0,22.5,No,1.88
53.0 - 106.0 CFM,,Black,"Jet -Inspired<br/>Use air flow design to date-based on Turboprop engines. Air Flow blades move more air while generating less noise.<br/>Speed Profiles<br/>Switch between three curve profiles for your preferred mix of silence and speed.<br/>Quiet Spin<br/>Exclusive technology stabilizes the driver that spins the blades, reducing clicks and noisy vibrations.<br/>Noise Absorption<br/>Rubber mounting inserts on the frame absorb fan rattle.<br/>Jam Protection<br/>Automatically stops the fan motor if jammed by objects.",Case Fan,,/product/QTtWGX/cooler-master-masterfan-pro-140-air-flow-1060-cfm-140mm-fan-mfy-f4nn-08nmk-r1,Cooler Master,MasterFan Pro 140 Air Flow,Cooler Master MasterFan Pro 140 Air Flow 106.0 CFM  140mm Fan,6.0 - 36.0 dbA,MFY-F4NN-08NMK-R1,"[17.97, 18.3, 16.99, 19.99, 17.96]",650 - 1600 RPM,140mm,2.10 mm/H2O,18.242,cooler-master-masterfan-pro-140-air-flow-1060-cfm-140mm-fan-mfy-f4nn-08nmk-r1,140.0,53.0 - 106.0 ,106.0,53.0,650 - 1600 ,650.0,1600.0,36.0,No,2.1
48.8 - 84.5 CFM,,Black,"Jet -Inspired<br/>Use air flow design to date-based on Turboprop engines. Air Flow blades move more air while generating less noise.<br/>Speed Profiles<br/>Switch between three curve profiles for your preferred mix of silence and speed.<br/>Quiet Spin<br/>Exclusive technology stabilizes the driver that spins the blades, reducing clicks and noisy vibrations.<br/>Noise Absorption<br/>Rubber mounting inserts on the frame absorb fan rattle.<br/>Jam Protection<br/>Automatically stops the fan motor if jammed by objects.",Case Fan,,/product/RLfmP6/cooler-master-masterfan-pro-120-air-flow-845-cfm-120mm-fan-mfy-f2nn-11nmk-r1,Cooler Master,MasterFan Pro 120 Air Flow,Cooler Master MasterFan Pro 120 Air Flow 84.5 CFM  120mm Fan,6.0 - 36.0 dbA,MFY-F2NN-11NMK-R1,"[16.28, 16.56, 17.99, 15.99, 16.37]",650 - 1900 RPM,120mm,2.61 mm/H2O,16.638,cooler-master-masterfan-pro-120-air-flow-845-cfm-120mm-fan-mfy-f2nn-11nmk-r1,120.0,48.8 - 84.5 ,84.5,48.8,650 - 1900 ,650.0,1900.0,36.0,No,2.61
59.5 CFM,,Black,,Case Fan,,/product/bkJkcf/be-quiet-bl067-595-cfm-140mm-fan-bl067,be quiet!,SilentWings 3 pwm,be quiet! SilentWings 3 pwm 59.5 CFM  140mm Fan,15.5 dbA,BL067,"[19.99, 26.0, 26.9]",1000 RPM,140mm,,24.2966666667,be-quiet-bl067-595-cfm-140mm-fan-bl067,140.0,59.5 ,59.5 ,59.5,1000 ,1000.0,1000.0,15.5,No,0.0
74.0 CFM,,White,,Case Fan,,/product/cXg323/arctic-cooling-case-fan-afaco120p2gba01,ARCTIC,F12 PWM,ARCTIC F12 PWM 74.0 CFM  120mm Fan,22.5 dbA,AFACO-120P2-GBA01,"[8.74, 8.99]",1350 RPM,120mm,,8.865,arctic-cooling-case-fan-afaco120p2gba01,120.0,74.0 ,74.0 ,74.0,1350 ,1350.0,1350.0,22.5,No,0.0
40.6 CFM,Hydraulic,Black,Patented Circular LED Ring<br/>High Static Pressure for Case/Radiator Applications<br/>Concentrated Compression Blade Design<br/>Hydraulic Bearing for Low noise/Longer Lifespan<br/>256 Color 3 Packs customized LED lighting effect<br/>Anti-vibration Mounting System,Case Fan,Multi-Color,/product/69Gj4D/thermaltake-case-fan-clf042pl12swa,Thermaltake,Riing 12 RGB,Thermaltake Riing 12 RGB 40.6 CFM  120mm Fan,26.4 dbA,CL-F042-PL12SW-A,"[23.89, 24.99, 24.99, 24.99, 24.94]",1000 - 1500 RPM,120mm,,24.76,thermaltake-case-fan-clf042pl12swa,120.0,40.6 ,40.6 ,40.6,1000 - 1500 ,1000.0,1500.0,26.4,Yes,0.0
83.6 CFM,Long Life Bearing,White,Optimized for extreme airflow 140mm fan with minimal speeds of 1000+/- 200 RPM<br/>Low noise level of 24.54 dBA with exceptional airflow at 83.6 CFM,Case Fan,,/product/Y37wrH/nzxt-case-fan-rffz14002,NZXT,Air Flow Series,NZXT Air Flow Series 83.6 CFM  140mm Fan,24.5 dbA,RF-FZ140-02,"[7.99, 12.49, 12.19]",1000 RPM,140mm,0.81 mm/H2O,10.89,nzxt-case-fan-rffz14002,140.0,83.6 ,83.6 ,83.6,1000 ,1000.0,1000.0,24.5,No,0.81
60.4 CFM,Hyper-spin,Black,,Case Fan,,/product/6G9KHx/cougar-case-fan-cft12sb4,Cougar,Turbine 120 (4-Pack),Cougar Turbine 120 (4-Pack) 60.4 CFM  120mm Fan,17.7 dbA,CFT12SB4,"[29.99, 29.99, 29.5]",1200 RPM,120mm,1.73 mm/H2O,29.8266666667,cougar-case-fan-cft12sb4,120.0,60.4 ,60.4 ,60.4,1200 ,1200.0,1200.0,17.7,No,1.73
52.2 - 68.0 CFM,SSO2-Bearing (Self-stabilising oil-presure bearing),Brown,Succeeding the award-winning NF-P14<br/>Square 140mm frame<br/>Flow Acceleration Channels<br/>AAO Frame<br/>Stepped Inlet Design<br/>Inner Surface Microstructures<br/>Integrated Anti-Vibration Pads<br/>SSO2 Bearing<br/>Metal bearing shell<br/>Smooth Commutation Drive 2<br/>3 speed settings for full flexibility<br/>Extensive cabling options<br/>Ultra-Low Power Consumption,Case Fan,,/product/Q3Lypg/noctua-case-fan-nfa14flx,Noctua,,Noctua NF-A14 FLX 68.0 CFM  140mm Fan,13.8 - 19.2 dbA,NF-A14 FLX,"[19.98, 21.48, 21.49, 21.49, 32.99]",900 - 1200 RPM,140mm,1.51 mm/H2O,23.486,noctua-case-fan-nfa14flx,140.0,52.2 - 68.0 ,68.0,52.2,900 - 1200 ,900.0,1200.0,19.2,No,1.51
57.2 CFM,,Black/Green,"Tuned for high pressure air delivery directly to components<br/>Better performance than standard case fans<br/>LED-lit translucent, frosted fan blades for a dramatic effect<br/>Specially designed fan blades and a sleeved bearing system for less vibration, noise and turbulence<br/>Available in single or twin packs.",Case Fan,Green,/product/3s6BD3/corsair-case-fan-co9050032ww,Corsair,SP120,Corsair SP120 57.2 CFM  120mm Fans,26.4 dbA,CO-9050032-WW,"[20.99, 20.99, 29.99]",1650 RPM,120mm,,23.99,corsair-case-fan-co9050032ww,120.0,57.2 ,57.2 ,57.2,1650 ,1650.0,1650.0,26.4,Yes,0.0
25.8 - 32.7 CFM,,Brown,,Case Fan,,/product/XK8H99/noctua-case-fan-nfa8pwm,Noctua,,Noctua NF-A8 PWM 32.7 CFM  80mm Fan,13.8 - 17.7 dbA,NF-A8 PWM,"[15.88, 15.99, 15.84, 25.99]",450 - 2200 RPM,80mm,2.37 mm/H2O,18.425,noctua-case-fan-nfa8pwm,80.0,25.8 - 32.7 ,32.7,25.8,450 - 2200 ,450.0,2200.0,17.7,No,2.37
49.3 CFM,SSO,Black/Gray,,Case Fan,,/product/rDrG3C/noctua-case-fan-nfp14sredux900,Noctua,,Noctua NF-P14s redux-900 49.3 CFM  140mm Fan,13.2 dbA,NF-P14s redux-900,"[17.99, 14.95, 24.97]",900 RPM,140mm,0.77 mm/H2O,19.3033333333,noctua-case-fan-nfp14sredux900,140.0,49.3 ,49.3 ,49.3,900 ,900.0,900.0,13.2,No,0.77
43.5 CFM,Fluid Dynamic,Black,Silent Operation<br/>Enhanced Airflow<br/>On-the-Fly Light Switching<br/>Aggressive Looks Both On and Off,Case Fan,Blue,/product/r37wrH/bitfenix-case-fan-bffblf12025brp,BitFenix,Spectre LED,BitFenix Spectre LED 43.5 CFM  120mm Fan,20.0 dbA,BFF-BLF-12025B-RP,"[7.42, 9.99, 15.27]",1000 RPM,120mm,0.62 mm/H2O,10.8933333333,bitfenix-case-fan-bffblf12025brp,120.0,43.5 ,43.5 ,43.5,1000 ,1000.0,1000.0,20.0,Yes,0.62
57.2 CFM,,Black/Blue,"Tuned for high pressure air delivery directly to components<br/>Better performance than standard case fans<br/>LED-lit translucent, frosted fan blades for a dramatic effect<br/>Specially designed fan blades and a sleeved bearing system for less vibration, noise and turbulence<br/>Available in single or twin packs.",Case Fan,Blue,/product/xVtCmG/corsair-case-fan-co9050031ww,Corsair,SP120,Corsair SP120 57.2 CFM  120mm Fans,26.4 dbA,CO-9050031-WW,"[20.89, 20.99, 20.99, 29.99]",1650 RPM,120mm,,23.215,corsair-case-fan-co9050031ww,120.0,57.2 ,57.2 ,57.2,1650 ,1650.0,1650.0,26.4,Yes,0.0
58.4 - 76.5 CFM,Fluid Dynamic,Black/Red,"For WATER COOLER and heatsink cooler Cooling<br/>For Computer Case Cooling<br/>semi-hermetic Fluid Dynamic Bearing<br/>patented 2-layer blade for powerful air pressure<br/>Detachable fan impeller<br/>PWM Function<br/>MTBF(Mean Time Between Failures): 100,000 h<br/>Dustproof, Waterproof, Oil-leakage proof",Case Fan,Red,/product/s9Nypg/deepcool-case-fan-tf120red,Deepcool,,Deepcool TF 120 RED 76.5 CFM  120mm Fan,17.6 - 31.8 dbA,TF 120 RED,"[14.99, 19.97]",500 - 1800 RPM,120mm,,17.48,deepcool-case-fan-tf120red,120.0,58.4 - 76.5 ,76.5,58.4,500 - 1800 ,500.0,1800.0,31.8,Yes,0.0
59.1 CFM,Long Life Bearing,Clear,Optimized for extreme airflow 120mm fan with minimal speeds of 1200+/- 20% RPM<br/>Low noise level of 26.8 dBA with exceptional airflow at 59.1 CFM,Case Fan,Red,/product/T2JwrH/nzxt-case-fan-rffz120r1,NZXT,Air Flow Series,NZXT Air Flow Series 59.1 CFM  120mm Fan,26.8 dbA,RF-FZ120-R1,"[6.99, 9.99, 11.39, 15.14, 14.99]",1200 RPM,120mm,0.71 mm/H2O,11.7,nzxt-case-fan-rffz120r1,120.0,59.1 ,59.1 ,59.1,1200 ,1200.0,1200.0,26.8,Yes,0.71
118.2 CFM,Fluid Dynamic,Black,,Case Fan,,/product/wzM323/fractal-design-case-fan-fdfanventhf14bk,Fractal Design,HF14-BK,Fractal Design HF14-BK 118.2 CFM  140mm Fan,26.5 dbA,FD-FAN-VENT-HF14-BK,"[17.99, 18.99, 19.89, 19.99, 17.99]",1200 RPM,140mm,,18.97,fractal-design-case-fan-fdfanventhf14bk,140.0,118.2 ,118.2 ,118.2,1200 ,1200.0,1200.0,26.5,No,0.0
38.2 CFM,long life sleeve,Black,"120mm, 7 blades<br/>1200RPM ± 10%0RPM / 38.2CFM<br/>Long life sleeve<br/>Black 4 pack",Case Fan,,/product/zwGkcf/rosewill-case-fan-rocf13001,Rosewill,,Rosewill ROCF-13001 38.2 CFM  120mm Fan,22.0 dbA,ROCF-13001,"[14.99, 14.99]",1200 RPM,120mm,,14.99,rosewill-case-fan-rocf13001,120.0,38.2 ,38.2 ,38.2,1200 ,1200.0,1200.0,22.0,No,0.0
